"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254759",3.83287583102766,-0.591554399349522,0.948557738824009,-0.623635626106336,0.532866908242851,0.710852566897891
"ENSG00000226210",708.472110269406,-0.2580774704099,0.413876745714125,-0.623561176322191,0.532915814044082,0.710852566897891
"ENSG00000271447",1427.37073398116,-0.193043604847155,0.309579668750043,-0.62356680471488,0.532912116693393,0.710852566897891
"ENSG00000260366",1.70248905274857,-0.760114512670586,1.2187643177745,-0.623676375805437,0.532840140870422,0.710852566897891
"ENSG00000113583",1103.37445216282,0.0892996820894681,0.143277894655667,0.623262104067608,0.533112296433661,0.711008350848665
"ENSG00000106018",34.5377980025423,-0.330894437035846,0.530855501658919,-0.623322987143967,0.533072294928104,0.711008350848665
"ENSG00000272092",13.2713016756249,-0.377337084690072,0.60543297304949,-0.623251625674552,0.533119181118943,0.711008350848665
"ENSG00000105726",2060.5145443115,0.122264998858275,0.196256871561955,0.622984550223394,0.533294674578874,0.711203902652361
"ENSG00000138231",374.94943822949,-0.113193558686073,0.181712911409689,-0.622925238542168,0.533333651843541,0.711217384599152
"ENSG00000246203",8.20822842593057,0.316512810371601,0.508685595440293,0.622216970971319,0.533799208216596,0.711799691103717
"ENSG00000246263",27.5202825793089,0.20808568081151,0.334468316696371,0.622138691242343,0.533850675416037,0.711829793268654
"ENSG00000136709",1883.33173229537,-0.0858266947975463,0.138006297050492,-0.621904193010447,0.534004867844318,0.711992646765934
"ENSG00000105793",302.796282083208,-0.127212131192503,0.204565494572631,-0.621865048444604,0.534030609229521,0.711992646765934
"ENSG00000139239",53.8335857895652,-0.14966758537492,0.240717469447874,-0.621756226160933,0.534102173829594,0.712049526874443
"ENSG00000169918",147.038620732355,0.14058887415793,0.226150686452416,0.621660169877537,0.534165347171723,0.712056685330037
"ENSG00000267858",52.8484271043618,0.161542280541511,0.259843168668308,0.621691466315674,0.534144764026879,0.712056685330037
"ENSG00000283696",9.83229956222695,-0.392458161158098,0.63145157330708,-0.621517433399825,0.534259227648042,0.712143298791581
"ENSG00000289156",3.19261439519934,0.554794306019675,0.893490270019303,0.620929320257387,0.534646128608848,0.712581913472338
"ENSG00000066044",1557.1735667135,-0.0941365757664357,0.151596813089875,-0.620966719865188,0.534621520386145,0.712581913472338
"ENSG00000105499",378.070602750528,0.280231852223059,0.451508638069865,0.620656679838974,0.534825538027538,0.712782472161876
"ENSG00000235852",1.67749798089247,-0.900925844029705,1.4526419590455,-0.620198142026466,0.535127344597143,0.713146123699887
"ENSG00000203734",6.74696542446747,-0.41322357594372,0.666424245237978,-0.6200608379669,0.535217733927567,0.713152503939975
"ENSG00000234770",4.7228698792771,0.518735373797937,0.836525216558564,0.620107276540923,0.535187161853539,0.713152503939975
"ENSG00000246523",4.78639212355819,-0.575420586085405,0.928009471294571,-0.620058958323663,0.53521897137842,0.713152503939975
"ENSG00000143653",1134.98218821786,-0.190483614255493,0.307259831743847,-0.619943105398474,0.535295245179159,0.71317699304991
"ENSG00000167978",17548.3145290756,-0.123186795829537,0.198698313904231,-0.619969004311281,0.535278193701202,0.71317699304991
